Epic,기능명,기능설명,개발순서,비고,담당자,마감일,완료 여부
코어 엔진,플러그인 버전 체크,플러그인들 버전체크,3순위,(담당자 김민준),김민준,2025년 11월 15일,
코어 엔진,"서버 비용 계산 (cpu, ram,cost)",설계 아키텍처 기반으로 서버 자원 비용 계산 ,2순위,(담당자 김민준),김민준,2025년 11월 08일,
코어 엔진,아키텍처 버전 관리,"아키텍처들의 버전관리 (롤백 ,다른 환경에서 사용하기 위한 조치)",4순위,(담당자 김민준),김민준,2025년 11월 14일,
코어 엔진,GO 플러그인 목록 저장 현재 내가 사용하고 있는 플러그인 체크,플러그인 마다 GUI 화면과 기능이 달라지기에 그에 맞게 대응하기 위해서 플러그인 목록을 체크 하여 프로그램 전체에 적용,1순위,(담당자 김민준),김민준,2025년 10월 22일,완료
코어 엔진,GO 플러그인 러스트 코어와 연결,개별적인 기능들인 플러그인들을 러스트 코어 스크립에서도 사용하여 기능제공,1순위,(담당자 김민준),김민준,2025년 10월 31일,진행 중
코어 엔진,명령어 실행 기능,GUI 버튼 클릭시 해당 CLI 명령 자동 호출. Tauri IPC로 프로세스 spawn,2순위,연결 후 테스트 필요,경호 조,2025년 10월 31일,
코어 엔진,stack.yaml 생성기,Canvas JSON을 파싱하여 stack.yaml 생성. JSON Schema 검증 및 순환참조 체크. 양방향 동기화 지원,1순위,양방향 동기화 지원 필요,승균 박,2025년 10월 27일,
코어 엔진,파이프라인 오케스트레이터,Preflight→Generate→Build→Up→Post→Health 순차 실행. 한 단계 실패시 즉시 중단 및 에러 가이드 출력,1순위,한 단계 실패 시 즉시 중단,경호 조,2025년 10월 27일,
코어 엔진,GO CLI 기본 구조,"Cobra 기반 명령어 파서 구현. ic run/validate/secrets
  서브커맨드 제공. Exit Code 정의",1순위,단일 바이너리 빌드(CGO_ENABLED=0),경호 조,2025년 10월 21일,완료
로컬 환경 Docker,Preflight 체크,Docker  desktop설치 확인. 포트충돌/디스크 공간 검증. 실패시 해결방법 링크 제공,3순위,실패 시 해결방법 링크 제공,"승균 박, 김민준",2025년 10월 31일,
로컬 환경 Docker,빌드 프로세스,Dockerfile 자동 생성. 언어별 템플릿 분리(Java/Node/Python). BuildKit 캐시 활용,1순위,언어별 템플릿 분리(Java/Node/Python),승균 박,2025년 10월 31일,
로컬 환경 Docker,Compose 실행 로직,docker-compose up/down 실행. ,1순위,,경호 조,2025년 10월 24일,완료
로컬 환경 Docker,DockerLocalDeployer,Docker 데몬과 통신하여 Compose 명령 실행. Deployer 인터페이스 구현,1순위,Deployer 인터페이스 구현,경호 조,2025년 10월 24일,완료
EC2 환경 Docker,EC2 원격 서버 내부 인프라 수정,수정된 캔버스를 바탕으로 인프라 배포 환경을 수정한다.,4순위,,경호 조,2025년 11월 07일,
EC2 환경 Docker,EC2 원격 서버 내부 인프라 삭제,사용자가 삭제 버튼을 누르면 docker 및 파일들을 삭제한다.,2순위,,경호 조,2025년 10월 24일,완료
EC2 환경 Docker,원격 환경 검증,원격 서버의 Docker 설치/버전/포트/디스크 상태 체크,1순위,,경호 조,2025년 10월 24일,
EC2 환경 Docker,원격 명령 실행,workdir에서 compose 명령 실행. 실시간 로그 스트리밍. 타임아웃 기본 10분,2순위,타임아웃 기본 10분,경호 조,2025년 10월 24일,완료
EC2 환경 Docker,원격 Docker 설치,Docker 미설치 감지시 install 스크립트 실행. Ubuntu/Amazon Linux만 지원,1순위,Ubuntu/Amazon Linux만 지원,경호 조,2025년 10월 24일,완료
EC2 환경 Docker,SSH 연결 및 동기화,SSH 키 권한 검증(0600). 프로젝트 파일 SCP 전송,3순위,,경호 조,2025년 10월 31일,진행 중
EC2 환경 Docker,EC2SSHDeployer,SSH 연결 및 SCP 파일 업로드. 원격 명령 실행. 기존 EC2 인스턴스만 지원(v0.1),1순위,기존 EC2 인스턴스만 지원(v0.1),경호 조,2025년 10월 24일,완료
환경 설정 파일 생성기,requirements 생성기,Python/Node 프로젝트 종속성 파일 자동 생성. 파일 없을때만 생성,4순위,파일 없을 때만 생성,승균 박,2025년 10월 31일,
환경 설정 파일 생성기,환경변수 해석,${ref:...} ${secret:...} 변수 치환. 타겟별로 publicHost 다르게 해석,4순위,타겟별 publicHost 다르게 해석,승균 박,2025년 10월 31일,
환경 설정 파일 생성기,Dockerfile 템플릿,프로젝트 언어 감지후 최적화된 Dockerfile 생성. Java/Node/Python 우선 지원,2순위,Java/Node/Python 우선 지원,승균 박,2025년 10월 31일,
환경 설정 파일 생성기,Compose 파일 생성기,"stack.yaml의 services 스펙을 docker-compose.yaml로 변환. dependsOn/ports/volumes
  매핑",1순위,dependsOn/ports/volumes 매핑,승균 박,2025년 10월 31일,
모니터링 & 헬스체크,GUI 로그 표시,백엔드 로그를 GUI에 실시간 표시. Tauri Event 활용,3순위,,김민준,2025년 11월 11일,
모니터링 & 헬스체크,GO 로그 출력,배포 과정 실시간 로그 스트리밍. 로그 레벨 INFO/WARN/ERROR,3순위,로그 레벨: INFO/WARN/ERROR,김민준,2025년 11월 11일,
모니터링 & 헬스체크,재시도 로직,일시적 실패시 자동 재시도. 네트워크 오류만 재시도,4순위,네트워크 오류만 재시도,김민준,2025년 11월 07일,
모니터링 & 헬스체크,에러 가이드,에러별 해결방법 메시지 및 문서 링크 제공,3순위,,김민준,2025년 11월 07일,
모니터링 & 헬스체크,에러 체크,배포 실패 원인 분석 및 분류. 포트충돌/환경변수 누락 등 분류,3순위,포트충돌/환경변수 누락 등 분류,김민준,2025년 11월 07일,
모니터링 & 헬스체크,HTTP/TCP 헬스체크,배포후 서비스 응답 확인. 재시도 10회 지수 백오프,3순위,재시도 10회 지수 백오프,김민준,2025년 11월 07일,
환경 변수 관리,시크릿 주입,런타임에 .env로 시크릿 주입.,2순위,,김민준,2025년 10월 31일,
환경 변수 관리,시크릿 저장,암호화 저장,2순위,,김민준,2025년 10월 31일,
stack.yaml 구조 검증,Preflight 체크,전체 실행전 종합 검증. 실행전 필수 단계,2순위,실행 전 필수 단계,승균 박,2025년 10월 31일,
